roll_no,set,q1,q2,q3,q4,q5
1,0,True,True,False,True,True
1004,1,False,False,False,True,False
1015,0,True,True,True,False,True
1017,4,False,False,True,False,False
1036,2,False,True,False,False,True
1043,2,False,False,False,True,False
1047,1,False,False,False,False,True
1056,3,False,True,True,False,False
2,3,False,True,False,False,False
802,2,False,False,False,False,False
809,1,True,False,False,False,False
810,4,False,False,True,False,False
813,0,True,True,False,True,True
815,1,True,False,False,True,False
818,0,True,True,False,False,True
819,4,False,False,True,False,True
823,2,False,True,False,False,True
825,0,True,True,False,True,True
829,1,True,False,False,True,True
831,4,False,True,True,False,True
832,2,False,False,False,False,True
835,3,True,True,False,False,False
839,2,False,False,False,False,True
845,3,True,True,False,False,False
847,1,True,False,False,False,False
848,4,False,False,False,False,False
849,0,True,True,True,False,True
851,2,False,False,False,False,False
852,0,True,True,False,True,True
854,2,False,False,False,True,False
906,1,True,False,False,False,False
911,2,False,False,False,False,True
914,4,False,False,False,False,False
916,3,True,True,False,False,False
921,1,True,False,False,True,False
924,3,True,False,False,True,False
935,2,False,False,False,False,True
936,3,True,False,False,False,False
937,3,True,True,True,False,False
938,0,True,True,True,True,True
940,1,True,False,False,False,False
941,2,False,True,True,False,True
942,0,True,True,True,True,True
944,1,True,False,False,False,True
947,2,False,False,True,False,True
948,0,False,False,True,True,False
951,4,False,False,False,True,True
955,0,True,True,False,False,False
957,2,False,False,False,False,False
