roll_no,set,q1,q2,q3,q4,q5
1001,1,True,False,True,True,False
1003,1,False,False,True,False,False
1006,2,False,False,False,False,False
1007,1,False,True,False,False,True
1008,2,False,False,False,False,True
1009,0,True,True,False,False,True
1011,1,True,False,False,True,False
1012,3,True,True,False,False,False
1018,4,False,False,True,False,True
1021,0,True,True,False,True,True
1026,3,True,True,False,True,False
1029,2,False,False,False,False,True
1030,0,True,True,False,False,True
1031,3,True,True,False,False,False
1032,2,False,False,False,False,False
1033,4,False,False,False,False,True
1034,4,False,False,True,False,True
1037,1,True,False,False,True,True
1039,1,True,False,False,False,False
1040,4,False,True,True,False,True
1041,0,True,True,False,True,True
1042,1,True,False,False,True,False
1048,4,False,False,False,False,False
1049,0,True,True,True,True,True
1051,2,False,False,False,False,False
1052,3,True,True,False,False,False
1053,4,True,False,True,False,True
1057,1,True,False,False,False,False
805,3,True,False,False,True,False
806,4,False,False,True,False,False
807,2,False,False,False,False,True
814,4,False,False,True,False,True
821,0,True,True,True,False,False
826,1,True,False,False,False,False
827,4,False,False,False,False,True
840,3,True,True,False,False,False
843,2,False,False,False,True,False
903,0,True,True,False,False,False
904,1,True,False,False,False,False
905,3,True,True,False,False,False
909,3,False,True,False,False,False
910,2,False,False,False,False,True
912,2,False,False,False,False,True
919,4,False,False,True,False,False
923,4,True,False,False,True,True
926,0,True,True,True,False,True
927,2,False,True,False,False,True
929,3,True,True,False,False,False
930,2,False,False,False,False,True
932,0,True,True,True,False,True
934,2,False,True,False,False,True
943,1,True,False,False,False,False
945,3,True,True,False,False,False
950,4,True,False,False,False,False
952,0,True,True,False,False,True
953,0,True,True,False,True,True
954,4,False,False,True,False,False
956,0,False,True,False,False,False
