roll_no,set,q1,q2,q3,q4,q5
1,3,False,False,False,False,False
1004,1,False,True,True,True,False
1015,2,True,False,False,False,True
1017,3,False,False,False,False,True
1036,4,False,True,True,False,True
1043,1,False,False,False,True,False
1047,0,True,False,False,False,False
1056,3,False,False,False,False,True
2,0,False,False,True,False,False
802,3,True,False,False,True,True
809,1,False,True,False,False,False
810,4,False,True,False,True,True
813,0,True,True,False,False,False
815,2,True,False,False,False,False
818,0,True,False,True,False,False
819,3,False,True,False,False,False
823,1,False,True,True,False,False
825,0,False,False,False,True,False
829,0,False,True,False,False,False
831,4,False,True,True,False,True
832,4,False,True,False,True,False
833,0,False,False,False,False,True
835,3,False,True,False,False,False
839,2,False,False,False,False,False
845,1,True,False,True,True,True
847,0,True,False,True,False,True
848,0,False,False,True,True,False
849,2,False,False,False,False,False
851,3,True,True,False,False,False
852,0,False,False,True,True,False
854,1,False,False,True,False,False
906,3,False,False,False,True,True
911,0,True,True,True,True,False
914,2,False,False,False,False,False
916,3,True,True,True,False,False
921,3,False,True,False,False,True
924,2,False,False,True,False,False
935,4,False,True,False,True,False
936,4,False,False,False,False,True
937,3,True,True,False,False,False
938,0,False,True,True,True,False
940,1,False,True,True,True,False
941,2,True,True,False,True,True
942,1,False,False,False,False,False
944,4,False,False,False,False,False
947,2,True,False,False,True,False
948,1,False,False,False,True,False
951,1,False,False,False,False,False
955,3,True,True,False,False,False
