roll_no,set,q1,q2,q3,q4,q5
1001,0,True,False,True,True,False
1003,2,True,True,False,False,False
1006,2,False,False,False,False,False
1007,2,False,False,True,False,False
1008,0,True,True,True,True,False
1009,2,False,True,False,True,False
1011,3,True,True,False,False,False
1012,3,True,True,False,False,False
1018,0,True,False,True,False,False
1021,3,True,True,False,True,False
1026,1,False,False,False,False,False
1029,4,True,True,False,False,False
1030,2,False,False,True,False,False
1031,4,False,False,False,False,False
1032,4,False,False,False,True,True
1033,1,False,True,True,False,True
1034,3,False,True,False,False,False
1037,2,False,False,False,False,False
1039,3,True,True,False,False,True
1040,3,True,True,False,False,False
1041,0,False,False,False,False,False
1042,0,False,True,True,False,True
1048,2,True,False,False,False,False
1049,3,True,True,False,False,False
1051,3,False,False,False,True,False
1052,0,True,True,False,False,False
1053,4,False,True,False,False,True
1057,4,False,False,False,False,True
805,0,False,True,True,True,False
806,2,True,False,False,False,False
807,1,False,False,False,False,False
814,1,False,True,True,False,False
821,0,False,False,True,True,False
826,3,True,True,False,False,True
827,4,False,False,True,True,True
840,4,False,True,False,True,True
843,0,True,False,False,False,False
903,0,False,False,False,True,False
904,3,True,True,False,False,False
909,0,False,False,True,True,False
910,4,False,True,False,False,True
912,2,False,True,False,False,False
919,4,False,True,True,False,True
923,3,False,True,False,False,False
926,2,True,False,False,True,False
927,4,False,True,True,False,True
929,0,True,False,True,True,False
930,2,True,True,False,False,True
932,1,False,False,False,False,False
934,4,True,True,False,True,False
943,2,True,False,False,False,False
945,1,True,True,False,False,False
950,1,False,False,False,True,False
952,4,False,True,True,False,True
953,0,True,False,False,True,False
954,1,False,True,True,True,False
956,0,False,True,False,False,False
