roll_no,set,q1,q2,q3,q4,q5
er_posttest_lab_1,0,b,c,d,a,d
er_posttest_lab_1004,1,d,b,b,c,c
er_posttest_lab_1015,0,b,c,c,b,d
er_posttest_lab_1017,4,d,a,c,d,a
er_posttest_lab_1036,2,a,b,c,d,d
er_posttest_lab_1043,2,a,c,c,b,a
er_posttest_lab_1047,1,a,b,b,b,d
er_posttest_lab_1056,3,b,b,b,a,c
er_posttest_lab_2,3,b,b,c,c,c
er_posttest_lab_802,2,a,d,c,d,a
er_posttest_lab_809,1,c,d,b,d,c
er_posttest_lab_810,4,b,d,c,c,a
er_posttest_lab_813,0,b,c,b,a,d
er_posttest_lab_815,1,c,d,b,c,b
er_posttest_lab_818,0,b,c,d,b,d
er_posttest_lab_819,4,b,a,c,d,c
er_posttest_lab_823,2,a,b,c,d,d
er_posttest_lab_825,0,b,c,d,a,d
er_posttest_lab_829,1,c,b,b,c,d
er_posttest_lab_831,4,a,b,c,b,c
er_posttest_lab_832,2,a,c,c,d,d
er_posttest_lab_835,3,a,b,c,d,a
er_posttest_lab_839,2,a,a,c,d,d
er_posttest_lab_845,3,a,b,a,c,c
er_posttest_lab_847,1,c,b,d,b,b
er_posttest_lab_848,4,b,a,b,c,a
er_posttest_lab_849,0,b,c,c,b,d
er_posttest_lab_851,2,a,c,d,d,a
er_posttest_lab_852,0,b,c,a,a,d
er_posttest_lab_854,2,d,c,d,b,c
er_posttest_lab_906,1,c,b,b,b,b
er_posttest_lab_911,2,a,c,c,d,d
er_posttest_lab_914,4,b,a,a,b,a
er_posttest_lab_916,3,a,b,a,d,c
er_posttest_lab_921,1,c,b,b,c,b
er_posttest_lab_924,3,a,a,a,b,a
er_posttest_lab_935,2,a,c,d,d,d
er_posttest_lab_936,3,a,a,a,d,c
er_posttest_lab_937,3,a,b,b,d,c
er_posttest_lab_938,0,b,c,c,a,d
er_posttest_lab_940,1,c,b,b,d,c
er_posttest_lab_941,2,a,b,b,d,d
er_posttest_lab_942,0,b,c,c,a,d
er_posttest_lab_944,1,c,b,b,b,d
er_posttest_lab_947,2,a,c,b,d,d
er_posttest_lab_948,0,c,d,c,a,c
er_posttest_lab_951,4,b,a,d,a,c
er_posttest_lab_955,0,b,c,b,b,a
er_posttest_lab_957,2,d,c,a,a,c
