roll_no,set,q1,q2,q3,q4,q5
er_posttest_watrin_1001,1,c,b,c,c,c
er_posttest_watrin_1003,1,a,d,c,a,c
er_posttest_watrin_1006,2,d,c,a,a,c
er_posttest_watrin_1007,1,d,c,a,d,d
er_posttest_watrin_1008,2,a,d,c,d,d
er_posttest_watrin_1009,0,b,c,a,d,d
er_posttest_watrin_1011,1,c,b,a,c,b
er_posttest_watrin_1012,3,a,b,c,a,c
er_posttest_watrin_1018,4,b,a,c,c,c
er_posttest_watrin_1021,0,b,c,a,a,d
er_posttest_watrin_1026,3,a,b,c,b,c
er_posttest_watrin_1029,2,a,c,a,d,d
er_posttest_watrin_1030,0,b,c,d,b,d
er_posttest_watrin_1031,3,a,b,a,c,c
er_posttest_watrin_1032,2,a,c,d,d,a
er_posttest_watrin_1033,4,b,a,b,d,c
er_posttest_watrin_1034,4,b,a,c,c,c
er_posttest_watrin_1037,1,c,d,b,c,d
er_posttest_watrin_1039,1,c,b,b,b,c
er_posttest_watrin_1040,4,b,b,c,c,c
er_posttest_watrin_1041,0,b,c,d,a,d
er_posttest_watrin_1042,1,c,b,a,c,a
er_posttest_watrin_1048,4,b,c,b,c,d
er_posttest_watrin_1049,0,b,c,c,a,d
er_posttest_watrin_1051,2,d,c,c,c,a
er_posttest_watrin_1052,3,a,b,d,a,a
er_posttest_watrin_1053,4,c,c,c,d,c
er_posttest_watrin_1057,1,c,b,b,a,b
er_posttest_watrin_805,3,a,a,c,b,c
er_posttest_watrin_806,4,a,a,c,c,b
er_posttest_watrin_807,2,a,c,d,d,d
er_posttest_watrin_814,4,b,a,c,b,c
er_posttest_watrin_821,0,b,c,c,b,a
er_posttest_watrin_826,1,c,b,b,b,c
er_posttest_watrin_827,4,b,a,b,b,c
er_posttest_watrin_840,3,a,b,a,c,c
er_posttest_watrin_843,2,a,d,d,b,c
er_posttest_watrin_903,0,b,c,d,b,a
er_posttest_watrin_904,1,c,d,b,b,c
er_posttest_watrin_905,3,a,b,c,a,c
er_posttest_watrin_909,3,b,b,c,a,c
er_posttest_watrin_910,2,a,c,a,d,d
er_posttest_watrin_912,2,a,c,c,d,d
er_posttest_watrin_919,4,b,a,c,c,b
er_posttest_watrin_923,4,c,d,d,a,c
er_posttest_watrin_926,0,b,c,c,b,d
er_posttest_watrin_927,2,d,b,c,d,d
er_posttest_watrin_929,3,a,b,a,a,c
er_posttest_watrin_930,2,a,c,c,d,d
er_posttest_watrin_932,0,b,c,c,b,d
er_posttest_watrin_934,2,a,b,c,d,d
er_posttest_watrin_943,1,c,d,b,d,c
er_posttest_watrin_945,3,a,b,c,c,c
er_posttest_watrin_950,4,c,c,b,d,d
er_posttest_watrin_952,0,b,c,b,b,d
er_posttest_watrin_953,0,b,c,d,a,d
er_posttest_watrin_954,4,b,a,c,c,b
er_posttest_watrin_956,0,c,c,d,b,b
