roll_no,set,q1,q2,q3,q4,q5
er_pretest_lab_1,3,a,a,d,c,d
er_pretest_lab_1004,1,a,b,c,b,d
er_pretest_lab_1015,2,c,a,d,a,b
er_pretest_lab_1017,3,b,b,d,b,b
er_pretest_lab_1036,4,b,b,c,a,d
er_pretest_lab_1043,1,c,d,a,b,c
er_pretest_lab_1047,0,b,a,c,d,d
er_pretest_lab_1056,3,a,b,c,c,b
er_pretest_lab_2,0,a,a,b,a,a
er_pretest_lab_802,3,c,b,d,a,b
er_pretest_lab_809,1,c,b,b,c,c
er_pretest_lab_810,4,d,b,d,c,d
er_pretest_lab_813,0,b,b,d,d,d
er_pretest_lab_815,2,c,c,b,a,d
er_pretest_lab_818,0,b,c,b,d,c
er_pretest_lab_819,3,a,c,d,b,c
er_pretest_lab_823,1,a,b,c,a,d
er_pretest_lab_825,0,a,d,d,b,a
er_pretest_lab_829,0,c,b,c,c,d
er_pretest_lab_831,4,b,b,c,b,d
er_pretest_lab_832,4,d,b,d,c,b
er_pretest_lab_833,0,a,a,c,a,b
er_pretest_lab_835,3,d,c,d,d,c
er_pretest_lab_839,2,d,a,d,a,d
er_pretest_lab_845,1,b,d,c,b,b
er_pretest_lab_847,0,b,d,b,d,b
er_pretest_lab_848,0,c,d,b,b,c
er_pretest_lab_849,2,a,a,d,a,d
er_pretest_lab_851,3,c,c,d,b,c
er_pretest_lab_852,0,a,c,b,b,c
er_pretest_lab_854,1,d,c,c,c,d
er_pretest_lab_906,3,a,b,d,a,b
er_pretest_lab_911,0,b,b,b,b,c
er_pretest_lab_914,2,d,c,b,a,d
er_pretest_lab_916,3,c,c,a,b,d
er_pretest_lab_921,3,d,c,b,b,b
er_pretest_lab_924,2,a,c,a,d,d
er_pretest_lab_935,4,b,b,d,c,a
er_pretest_lab_936,4,b,a,b,a,d
er_pretest_lab_937,3,c,c,d,d,a
er_pretest_lab_938,0,a,b,b,b,d
er_pretest_lab_940,1,a,b,c,b,d
er_pretest_lab_941,2,c,b,b,c,b
er_pretest_lab_942,1,d,a,b,a,c
er_pretest_lab_944,4,a,d,a,d,b
er_pretest_lab_947,2,c,a,b,c,d
er_pretest_lab_948,1,d,a,d,b,d
er_pretest_lab_951,1,d,a,b,c,d
er_pretest_lab_955,3,c,c,c,d,d
