roll_no,set,q1,q2,q3,q4,q5
er_pretest_watrin_1001,0,b,c,b,b,a
er_pretest_watrin_1003,2,c,b,b,a,d
er_pretest_watrin_1006,2,a,a,d,b,d
er_pretest_watrin_1007,2,a,c,a,b,c
er_pretest_watrin_1008,0,b,b,b,b,d
er_pretest_watrin_1009,2,a,b,b,c,d
er_pretest_watrin_1011,3,c,c,d,b,d
er_pretest_watrin_1012,3,c,c,d,b,d
er_pretest_watrin_1018,0,b,d,b,d,d
er_pretest_watrin_1021,3,c,c,b,a,c
er_pretest_watrin_1026,1,c,c,d,c,d
er_pretest_watrin_1029,4,c,b,a,d,b
er_pretest_watrin_1030,2,d,c,a,b,a
er_pretest_watrin_1031,4,b,c,b,d,a
er_pretest_watrin_1032,4,b,d,a,c,d
er_pretest_watrin_1033,1,d,b,c,a,b
er_pretest_watrin_1034,3,a,c,c,b,d
er_pretest_watrin_1037,2,b,a,d,b,d
er_pretest_watrin_1039,3,c,c,d,b,b
er_pretest_watrin_1040,3,c,c,c,c,d
er_pretest_watrin_1041,0,a,d,c,a,d
er_pretest_watrin_1042,0,a,b,b,c,b
er_pretest_watrin_1048,2,c,a,d,b,d
er_pretest_watrin_1049,3,c,c,d,b,a
er_pretest_watrin_1051,3,b,b,c,a,d
er_pretest_watrin_1052,0,b,b,c,c,d
er_pretest_watrin_1053,4,b,b,a,d,d
er_pretest_watrin_1057,4,d,d,d,b,d
er_pretest_watrin_805,0,c,b,b,b,c
er_pretest_watrin_806,2,c,a,b,a,c
er_pretest_watrin_807,1,d,d,b,a,d
er_pretest_watrin_814,1,a,b,c,d,d
er_pretest_watrin_821,0,a,d,b,b,c
er_pretest_watrin_826,3,c,c,d,b,b
er_pretest_watrin_827,4,d,a,c,c,d
er_pretest_watrin_840,4,b,b,a,c,d
er_pretest_watrin_843,0,b,c,c,d,c
er_pretest_watrin_903,0,d,c,c,b,d
er_pretest_watrin_904,3,c,c,c,b,a
er_pretest_watrin_909,0,a,c,b,b,c
er_pretest_watrin_910,4,b,b,a,a,d
er_pretest_watrin_912,2,a,b,b,a,d
er_pretest_watrin_919,4,b,b,c,a,d
er_pretest_watrin_923,3,d,c,b,b,d
er_pretest_watrin_926,2,c,a,b,c,d
er_pretest_watrin_927,4,d,b,c,d,d
er_pretest_watrin_929,0,b,c,b,b,d
er_pretest_watrin_930,2,c,b,b,a,b
er_pretest_watrin_932,1,a,c,b,d,c
er_pretest_watrin_934,4,c,b,b,c,a
er_pretest_watrin_943,2,c,d,b,b,d
er_pretest_watrin_945,1,b,b,d,d,c
er_pretest_watrin_950,1,c,a,a,b,d
er_pretest_watrin_952,4,d,b,c,d,d
er_pretest_watrin_953,0,b,d,c,b,a
er_pretest_watrin_954,1,a,b,c,b,d
er_pretest_watrin_956,0,d,b,d,d,d
