sn,venue,roll_no,test
1,lab,810,post test - ER
2,lab,1004,post test - ER
3,lab,944,post test - ER
4,lab,851,post test - ER
5,lab,819,post test - ER
6,lab,832,post test - ER
7,lab,1015,post test - ER
8,lab,835,post test - ER
9,lab,839,post test - ER
10,lab,815,post test - ER
11,lab,831,post test - ER
12,lab,802,post test - ER
13,lab,823,post test - ER
14,lab,825,post test - ER
15,lab,829,post test - ER
16,lab,809,post test - ER
17,lab,813,post test - ER
18,lab,849,post test - ER
19,lab,845,post test - ER
20,lab,847,post test - ER
21,lab,941,post test - ER
22,lab,848,post test - ER
23,lab,1056,post test - ER
24,lab,854,post test - ER
25,lab,852,post test - ER
26,lab,955,post test - ER
27,lab,1047,post test - ER
28,lab,1017,post test - ER
29,lab,957,post test - ER
30,lab,942,post test - ER
31,lab,924,post test - ER
32,lab,936,post test - ER
33,lab,911,post test - ER
34,lab,1036,post test - ER
35,lab,951,post test - ER
36,lab,921,post test - ER
37,lab,1043,post test - ER
38,lab,938,post test - ER
39,lab,916,post test - ER
40,lab,906,post test - ER
41,lab,935,post test - ER
42,lab,937,post test - ER
43,lab,940,post test - ER
44,lab,914,post test - ER
45,lab,818,post test - ER
46,lab,948,post test - ER
47,lab,947,post test - ER
48,lab,1,post test - ER
49,lab,2,post test - ER
