sn,venue,roll_no,test
1,lab,818,pretest - ER
2,lab,911,pretest - ER
3,lab,938,pretest - ER
4,lab,951,pretest - ER
5,lab,1047,pretest - ER
6,lab,1043,pretest - ER
7,lab,914,pretest - ER
8,lab,937,pretest - ER
9,lab,924,pretest - ER
10,lab,936,pretest - ER
11,lab,947,pretest - ER
12,lab,1017,pretest - ER
13,lab,955,pretest - ER
14,lab,916,pretest - ER
15,lab,921,pretest - ER
16,lab,1036,pretest - ER
17,lab,906,pretest - ER
18,lab,935,pretest - ER
19,lab,940,pretest - ER
20,lab,948,pretest - ER
21,lab,942,pretest - ER
22,lab,815,pretest - ER
23,lab,802,pretest - ER
24,lab,831,pretest - ER
25,lab,839,pretest - ER
26,lab,835,pretest - ER
27,lab,810,pretest - ER
28,lab,829,pretest - ER
29,lab,847,pretest - ER
30,lab,849,pretest - ER
31,lab,845,pretest - ER
32,lab,832,pretest - ER
33,lab,819,pretest - ER
34,lab,833,pretest - ER
35,lab,1015,pretest - ER
36,lab,1056,pretest - ER
37,lab,825,pretest - ER
38,lab,823,pretest - ER
39,lab,854,pretest - ER
40,lab,852,pretest - ER
41,lab,1004,pretest - ER
42,lab,848,pretest - ER
43,lab,944,pretest - ER
44,lab,941,pretest - ER
45,lab,813,pretest - ER
46,lab,809,pretest - ER
47,lab,851,pretest - ER
48,lab,1,pretest - ER
49,lab,2,pretest - ER
