sn,venue,roll_no,test
1,Watrin,1006,er_pretest
2,Watrin,1057,er_pretest
3,Watrin,930,er_pretest
4,Watrin,1029,er_pretest
5,Watrin,1008,er_pretest
6,Watrin,1042,er_pretest
7,Watrin,956,er_pretest
8,Watrin,904,er_pretest
9,Watrin,826,er_pretest
10,Watrin,952,er_pretest
11,Watrin,1037,er_pretest
12,Watrin,953,er_pretest
13,Watrin,1031,er_pretest
14,Watrin,806,er_pretest
15,Watrin,1030,er_pretest
16,Watrin,807,er_pretest
17,Watrin,1041,er_pretest
18,Watrin,840,er_pretest
19,Watrin,805,er_pretest
20,Watrin,1026,er_pretest
21,Watrin,1040,er_pretest
22,Watrin,1051,er_pretest
23,Watrin,1007,er_pretest
24,Watrin,1039,er_pretest
25,Watrin,926,er_pretest
26,Watrin,950,er_pretest
27,Watrin,1021,er_pretest
28,Watrin,1052,er_pretest
29,Watrin,912,er_pretest
30,Watrin,945,er_pretest
31,Watrin,1018,er_pretest
32,Watrin,821,er_pretest
33,Watrin,814,er_pretest
34,Watrin,843,er_pretest
35,Watrin,1048,er_pretest
36,Watrin,943,er_pretest
37,Watrin,1001,er_pretest
38,Watrin,919,er_pretest
39,Watrin,1003,er_pretest
40,Watrin,932,er_pretest
41,Watrin,1034,er_pretest
42,Watrin,1032,er_pretest
43,Watrin,903,er_pretest
44,Watrin,923,er_pretest
45,Watrin,927,er_pretest
46,Watrin,1053,er_pretest
47,Watrin,1012,er_pretest
48,Watrin,909,er_pretest
49,Watrin,934,er_pretest
50,Watrin,1011,er_pretest
51,Watrin,1009,er_pretest
52,Watrin,1033,er_pretest
53,Watrin,827,er_pretest
54,Watrin,929,er_pretest
55,Watrin,954,er_pretest
56,Watrin,1049,er_pretest
57,Watrin,910,er_pretest
58,Watrin,905,er_pretest
