sn,venue,roll_no,test
1,lab,930,post test - normalization
2,,806,
3,,1037,
4,,950,
5,,1001,
6,,912,
7,,1048,
8,,943,
9,,840,
10,,814,
11,,821,
12,,905,
13,,1021,
14,,1008,
15,,1057,
16,,1034,
17,,1003,
18,,1012,
19,,910,
20,,1006,
21,,827,
22,,1007,
23,,1052,
24,,953,
25,,843,
26,,805,
27,,1032,
28,,1026,
29,,826,
30,,1009,
31,,927,
32,,954,
33,,1011,
34,,1049,
35,,923,
36,,932,
37,,1053,
38,,1031,
39,,904,
40,,929,
41,,1039,
42,,926,
43,,1033,
44,,956,
45,,1030,
46,,1040,
47,,1042,
48,,934,
49,,909,
50,,1041,
51,,952,
52,,807,
53,,1051,
54,,919,
55,,945,
56,,903,
57,,1018,
58,,1029,
