sn,venue,roll_no,test
1,Watrin,815,pretest - normalization
2,Watrin,851,pretest - normalization
3,Watrin,831,pretest - normalization
4,Watrin,847,pretest - normalization
5,Watrin,924,pretest - normalization
6,Watrin,936,pretest - normalization
7,Watrin,1017,pretest - normalization
8,Watrin,951,pretest - normalization
9,Watrin,833,pretest - normalization
10,Watrin,955,pretest - normalization
11,Watrin,839,pretest - normalization
12,Watrin,849,pretest - normalization
13,Watrin,819,pretest - normalization
14,Watrin,813,pretest - normalization
15,Watrin,942,pretest - normalization
16,Watrin,832,pretest - normalization
17,Watrin,854,pretest - normalization
18,Watrin,1056,pretest - normalization
19,Watrin,848,pretest - normalization
20,Watrin,845,pretest - normalization
21,Watrin,802,pretest - normalization
22,Watrin,835,pretest - normalization
23,Watrin,809,pretest - normalization
24,Watrin,829,pretest - normalization
25,Watrin,825,pretest - normalization
26,Watrin,852,pretest - normalization
27,Watrin,823,pretest - normalization
28,Watrin,810,pretest - normalization
29,Watrin,1004,pretest - normalization
30,Watrin,938,pretest - normalization
31,Watrin,1047,pretest - normalization
32,Watrin,1015,pretest - normalization
33,Watrin,947,pretest - normalization
34,Watrin,944,pretest - normalization
35,Watrin,916,pretest - normalization
36,Watrin,940,pretest - normalization
37,Watrin,914,pretest - normalization
38,Watrin,957,pretest - normalization
39,Watrin,935,pretest - normalization
40,Watrin,1036,pretest - normalization
41,Watrin,818,pretest - normalization
42,Watrin,948,pretest - normalization
43,Watrin,937,pretest - normalization
44,Watrin,911,pretest - normalization
45,Watrin,921,pretest - normalization
46,Watrin,1043,pretest - normalization
47,Watrin,906,pretest - normalization
48,Watrin,941,pretest - normalization
49,Watrin,-1,pretest - normalization
