sn,venue,roll_no,test
1,watrin,1006,pretest - ER
2,watrin,1057,pretest - ER
3,watrin,930,pretest - ER
4,watrin,1029,pretest - ER
5,watrin,1008,pretest - ER
6,watrin,1042,pretest - ER
7,watrin,956,pretest - ER
8,watrin,904,pretest - ER
9,watrin,826,pretest - ER
10,watrin,952,pretest - ER
11,watrin,1037,pretest - ER
12,watrin,953,pretest - ER
13,watrin,1031,pretest - ER
14,watrin,806,pretest - ER
15,watrin,1030,pretest - ER
16,watrin,807,pretest - ER
17,watrin,1041,pretest - ER
18,watrin,840,pretest - ER
19,watrin,805,pretest - ER
20,watrin,1026,pretest - ER
21,watrin,1040,pretest - ER
22,watrin,1051,pretest - ER
23,watrin,1007,pretest - ER
24,watrin,1039,pretest - ER
25,watrin,926,pretest - ER
26,watrin,950,pretest - ER
27,watrin,1021,pretest - ER
28,watrin,1052,pretest - ER
29,watrin,912,pretest - ER
30,watrin,945,pretest - ER
31,watrin,1018,pretest - ER
32,watrin,821,pretest - ER
33,watrin,814,pretest - ER
34,watrin,843,pretest - ER
35,watrin,1048,pretest - ER
36,watrin,943,pretest - ER
37,watrin,1001,pretest - ER
38,watrin,919,pretest - ER
39,watrin,1003,pretest - ER
40,watrin,932,pretest - ER
41,watrin,1034,pretest - ER
42,watrin,1032,pretest - ER
43,watrin,903,pretest - ER
44,watrin,923,pretest - ER
45,watrin,927,pretest - ER
46,watrin,1053,pretest - ER
47,watrin,1012,pretest - ER
48,watrin,909,pretest - ER
49,watrin,934,pretest - ER
50,watrin,1011,pretest - ER
51,watrin,1009,pretest - ER
52,watrin,1033,pretest - ER
53,watrin,827,pretest - ER
54,watrin,929,pretest - ER
55,watrin,954,pretest - ER
56,watrin,1049,pretest - ER
57,watrin,910,pretest - ER
58,watrin,905,pretest - ER
1,lab,818,pretest - ER
2,lab,911,pretest - ER
3,lab,938,pretest - ER
4,lab,951,pretest - ER
5,lab,1047,pretest - ER
6,lab,1043,pretest - ER
7,lab,914,pretest - ER
8,lab,937,pretest - ER
9,lab,924,pretest - ER
10,lab,936,pretest - ER
11,lab,947,pretest - ER
12,lab,1017,pretest - ER
13,lab,955,pretest - ER
14,lab,916,pretest - ER
15,lab,921,pretest - ER
16,lab,1036,pretest - ER
17,lab,906,pretest - ER
18,lab,935,pretest - ER
19,lab,940,pretest - ER
20,lab,948,pretest - ER
21,lab,942,pretest - ER
22,lab,815,pretest - ER
23,lab,802,pretest - ER
24,lab,831,pretest - ER
25,lab,839,pretest - ER
26,lab,835,pretest - ER
27,lab,810,pretest - ER
28,lab,829,pretest - ER
29,lab,847,pretest - ER
30,lab,849,pretest - ER
31,lab,845,pretest - ER
32,lab,832,pretest - ER
33,lab,819,pretest - ER
34,lab,833,pretest - ER
35,lab,1015,pretest - ER
36,lab,1056,pretest - ER
37,lab,825,pretest - ER
38,lab,823,pretest - ER
39,lab,854,pretest - ER
40,lab,852,pretest - ER
41,lab,1004,pretest - ER
42,lab,848,pretest - ER
43,lab,944,pretest - ER
44,lab,941,pretest - ER
45,lab,813,pretest - ER
46,lab,809,pretest - ER
47,lab,851,pretest - ER
48,lab,1,pretest - ER
49,lab,2,pretest - ER
