roll_no,venue
1006,lab
1057,lab
930,lab
1029,lab
1008,lab
1042,lab
956,lab
904,lab
826,lab
952,lab
1037,lab
953,lab
1031,lab
806,lab
1030,lab
807,lab
1041,lab
840,lab
805,lab
1026,lab
1040,lab
1051,lab
1007,lab
1039,lab
926,lab
950,lab
1021,lab
1052,lab
912,lab
945,lab
1018,lab
821,lab
814,lab
843,lab
1048,lab
943,lab
1001,lab
919,lab
1003,lab
932,lab
1034,lab
1032,lab
903,lab
923,lab
927,lab
1053,lab
1012,lab
909,lab
934,lab
1011,lab
1009,lab
1033,lab
827,lab
929,lab
954,lab
1049,lab
910,lab
905,lab
818,watrin
911,watrin
938,watrin
951,watrin
1047,watrin
1043,watrin
914,watrin
937,watrin
924,watrin
936,watrin
947,watrin
1017,watrin
955,watrin
916,watrin
921,watrin
1036,watrin
906,watrin
935,watrin
940,watrin
948,watrin
942,watrin
815,watrin
802,watrin
831,watrin
839,watrin
835,watrin
810,watrin
829,watrin
847,watrin
849,watrin
845,watrin
832,watrin
819,watrin
833,watrin
1015,watrin
1056,watrin
825,watrin
823,watrin
854,watrin
852,watrin
1004,watrin
848,watrin
944,watrin
941,watrin
813,watrin
809,watrin
851,watrin
1,watrin
2,watrin
