roll_no,venue
1006,watrin
1057,watrin
930,watrin
1029,watrin
1008,watrin
1042,watrin
956,watrin
904,watrin
826,watrin
952,watrin
1037,watrin
953,watrin
1031,watrin
806,watrin
1030,watrin
807,watrin
1041,watrin
840,watrin
805,watrin
1026,watrin
1040,watrin
1051,watrin
1007,watrin
1039,watrin
926,watrin
950,watrin
1021,watrin
1052,watrin
912,watrin
945,watrin
1018,watrin
821,watrin
814,watrin
843,watrin
1048,watrin
943,watrin
1001,watrin
919,watrin
1003,watrin
932,watrin
1034,watrin
1032,watrin
903,watrin
923,watrin
927,watrin
1053,watrin
1012,watrin
909,watrin
934,watrin
1011,watrin
1009,watrin
1033,watrin
827,watrin
929,watrin
954,watrin
1049,watrin
910,watrin
905,watrin
818,watrin
911,watrin
938,watrin
951,watrin
1047,watrin
1043,watrin
914,watrin
937,watrin
924,watrin
936,watrin
947,watrin
1017,watrin
955,watrin
916,watrin
921,watrin
1036,watrin
906,watrin
935,watrin
940,watrin
948,watrin
942,watrin
815,watrin
802,watrin
831,watrin
839,watrin
835,watrin
810,watrin
829,watrin
847,watrin
849,watrin
845,watrin
832,watrin
819,watrin
833,watrin
1015,watrin
1056,watrin
825,watrin
823,watrin
854,watrin
852,watrin
1004,watrin
848,watrin
944,watrin
941,watrin
813,watrin
809,watrin
851,watrin
1,watrin
2,watrin
